Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
18/08/17,Leganes,Alaves,1,0,H,2.1,3.4,3.5,2017-08-18,2017/2018,1,SP1,1-0,1,-1.4,2017-08-18LeganesAlaves
18/08/17,Valencia,Las Palmas,1,0,H,1.75,3.6,4.8,2017-08-18,2017/2018,1,SP1,1-0,1,-3.05,2017-08-18ValenciaLas Palmas
19/08/17,Celta,Sociedad,2,3,A,2.5,3.3,2.85,2017-08-19,2017/2018,1,SP1,2-3,-1,-0.3500000000000001,2017-08-19CeltaSociedad
19/08/17,Girona,Ath Madrid,2,2,D,7.2,4.4,1.45,2017-08-19,2017/2018,1,SP1,2-2,0,5.75,2017-08-19GironaAth Madrid
19/08/17,Sevilla,Espanol,1,1,D,1.55,4.0,6.2,2017-08-19,2017/2018,1,SP1,1-1,0,-4.65,2017-08-19SevillaEspanol
20/08/17,Ath Bilbao,Getafe,0,0,D,1.5,4.2,6.5,2017-08-20,2017/2018,1,SP1,0-0,0,-5.0,2017-08-20Ath BilbaoGetafe
20/08/17,Barcelona,Betis,2,0,H,1.17,7.5,15.0,2017-08-20,2017/2018,1,SP1,2-0,2,-13.83,2017-08-20BarcelonaBetis
20/08/17,La Coruna,Real Madrid,0,3,A,7.5,5.5,1.35,2017-08-20,2017/2018,1,SP1,0-3,-3,6.15,2017-08-20La CorunaReal Madrid
21/08/17,Levante,Villarreal,1,0,H,3.3,3.35,2.2,2017-08-21,2017/2018,1,SP1,1-0,1,1.0999999999999996,2017-08-21LevanteVillarreal
21/08/17,Malaga,Eibar,0,1,A,2.1,3.4,3.5,2017-08-21,2017/2018,2,SP1,0-1,-1,-1.4,2017-08-21MalagaEibar
25/08/17,Betis,Celta,2,1,H,2.4,3.3,2.95,2017-08-25,2017/2018,2,SP1,2-1,1,-0.5500000000000003,2017-08-25BetisCelta
25/08/17,Sociedad,Villarreal,3,0,H,2.2,3.35,3.3,2017-08-25,2017/2018,2,SP1,3-0,3,-1.0999999999999996,2017-08-25SociedadVillarreal
26/08/17,Alaves,Barcelona,0,2,A,8.0,5.5,1.33,2017-08-26,2017/2018,2,SP1,0-2,-2,6.67,2017-08-26AlavesBarcelona
26/08/17,Girona,Malaga,1,0,H,2.2,3.35,3.3,2017-08-26,2017/2018,2,SP1,1-0,1,-1.0999999999999996,2017-08-26GironaMalaga
26/08/17,Las Palmas,Ath Madrid,1,5,A,4.8,3.6,1.75,2017-08-26,2017/2018,2,SP1,1-5,-4,3.05,2017-08-26Las PalmasAth Madrid
26/08/17,Levante,La Coruna,2,2,D,2.2,3.35,3.3,2017-08-26,2017/2018,2,SP1,2-2,0,-1.0999999999999996,2017-08-26LevanteLa Coruna
27/08/17,Eibar,Ath Bilbao,0,1,A,2.7,3.3,2.6,2017-08-27,2017/2018,2,SP1,0-1,-1,0.10000000000000009,2017-08-27EibarAth Bilbao
27/08/17,Espanol,Leganes,0,1,A,2.0,3.4,3.8,2017-08-27,2017/2018,2,SP1,0-1,-1,-1.7999999999999998,2017-08-27EspanolLeganes
27/08/17,Getafe,Sevilla,0,1,A,3.3,3.35,2.2,2017-08-27,2017/2018,3,SP1,0-1,-1,1.0999999999999996,2017-08-27GetafeSevilla
27/08/17,Real Madrid,Valencia,2,2,D,1.17,7.5,15.0,2017-08-27,2017/2018,3,SP1,2-2,0,-13.83,2017-08-27Real MadridValencia
08/09/17,Leganes,Getafe,1,2,A,2.0,3.4,3.8,2017-09-08,2017/2018,3,SP1,1-2,-1,-1.7999999999999998,2017-09-08LeganesGetafe
09/09/17,Barcelona,Espanol,5,0,H,1.17,7.5,15.0,2017-09-09,2017/2018,3,SP1,5-0,5,-13.83,2017-09-09BarcelonaEspanol
09/09/17,Real Madrid,Levante,1,1,D,1.1,9.0,27.0,2017-09-09,2017/2018,3,SP1,1-1,0,-25.9,2017-09-09Real MadridLevante
09/09/17,Sevilla,Eibar,3,0,H,1.6,3.9,5.7,2017-09-09,2017/2018,3,SP1,3-0,3,-4.1,2017-09-09SevillaEibar
09/09/17,Valencia,Ath Madrid,0,0,D,3.3,3.35,2.2,2017-09-09,2017/2018,3,SP1,0-0,0,1.0999999999999996,2017-09-09ValenciaAth Madrid
10/09/17,Ath Bilbao,Girona,2,0,H,1.75,3.6,4.8,2017-09-10,2017/2018,3,SP1,2-0,2,-3.05,2017-09-10Ath BilbaoGirona
10/09/17,Celta,Alaves,1,0,H,1.8,3.6,4.5,2017-09-10,2017/2018,3,SP1,1-0,1,-2.7,2017-09-10CeltaAlaves
10/09/17,La Coruna,Sociedad,2,4,A,2.7,3.3,2.6,2017-09-10,2017/2018,4,SP1,2-4,-2,0.10000000000000009,2017-09-10La CorunaSociedad
