Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
20/08/16,Juventus,Fiorentina,2,1,H,1.5,4.0,6.1,2016-08-20,2016/2017,1,I1,2-1,1,-4.6,2016-08-20JuventusFiorentina
20/08/16,Roma,Udinese,4,0,H,1.45,4.0,7.0,2016-08-20,2016/2017,1,I1,4-0,4,-5.55,2016-08-20RomaUdinese
21/08/16,Atalanta,Lazio,3,4,A,2.85,3.2,2.4,2016-08-21,2016/2017,1,I1,3-4,-1,0.4500000000000002,2016-08-21AtalantaLazio
21/08/16,Bologna,Crotone,1,0,H,1.9,3.3,4.0,2016-08-21,2016/2017,1,I1,1-0,1,-2.1,2016-08-21BolognaCrotone
21/08/16,Chievo,Inter,2,0,H,3.3,3.3,2.1,2016-08-21,2016/2017,1,I1,2-0,2,1.1999999999999997,2016-08-21ChievoInter
21/08/16,Empoli,Sampdoria,0,1,A,2.4,3.1,2.95,2016-08-21,2016/2017,1,I1,0-1,-1,-0.5500000000000003,2016-08-21EmpoliSampdoria
21/08/16,Genoa,Cagliari,3,1,H,2.0,3.3,3.6,2016-08-21,2016/2017,1,I1,3-1,2,-1.6,2016-08-21GenoaCagliari
21/08/16,Milan,Torino,3,2,H,1.85,3.3,4.3,2016-08-21,2016/2017,1,I1,3-2,1,-2.4499999999999997,2016-08-21MilanTorino
21/08/16,Palermo,Sassuolo,0,1,A,2.7,3.1,2.6,2016-08-21,2016/2017,1,I1,0-1,-1,0.10000000000000009,2016-08-21PalermoSassuolo
21/08/16,Pescara,Napoli,2,2,D,7.0,4.0,1.45,2016-08-21,2016/2017,2,I1,2-2,0,5.55,2016-08-21PescaraNapoli
27/08/16,Lazio,Juventus,0,1,A,4.2,3.5,1.8,2016-08-27,2016/2017,2,I1,0-1,-1,2.4000000000000004,2016-08-27LazioJuventus
27/08/16,Napoli,Milan,4,2,H,1.65,3.6,5.1,2016-08-27,2016/2017,2,I1,4-2,2,-3.4499999999999997,2016-08-27NapoliMilan
28/08/16,Cagliari,Roma,2,2,D,3.8,3.45,1.9,2016-08-28,2016/2017,2,I1,2-2,0,1.9,2016-08-28CagliariRoma
28/08/16,Crotone,Genoa,1,3,A,3.6,3.3,2.0,2016-08-28,2016/2017,2,I1,1-3,-2,1.6,2016-08-28CrotoneGenoa
28/08/16,Fiorentina,Chievo,1,0,H,1.65,3.6,5.1,2016-08-28,2016/2017,2,I1,1-0,1,-3.4499999999999997,2016-08-28FiorentinaChievo
28/08/16,Inter,Palermo,1,1,D,1.35,4.8,7.6,2016-08-28,2016/2017,2,I1,1-1,0,-6.25,2016-08-28InterPalermo
28/08/16,Sampdoria,Atalanta,2,1,H,2.1,3.2,3.4,2016-08-28,2016/2017,2,I1,2-1,1,-1.2999999999999998,2016-08-28SampdoriaAtalanta
28/08/16,Sassuolo,Pescara,0,3,A,1.6,3.7,5.4,2016-08-28,2016/2017,2,I1,0-3,-3,-3.8000000000000003,2016-08-28SassuoloPescara
28/08/16,Torino,Bologna,5,1,H,1.8,3.4,4.4,2016-08-28,2016/2017,3,I1,5-1,4,-2.6000000000000005,2016-08-28TorinoBologna
28/08/16,Udinese,Empoli,2,0,H,2.1,3.2,3.4,2016-08-28,2016/2017,3,I1,2-0,2,-1.2999999999999998,2016-08-28UdineseEmpoli
10/09/16,Juventus,Sassuolo,3,1,H,1.35,4.8,7.6,2016-09-10,2016/2017,3,I1,3-1,2,-6.25,2016-09-10JuventusSassuolo
10/09/16,Palermo,Napoli,0,3,A,7.3,4.4,1.4,2016-09-10,2016/2017,3,I1,0-3,-3,5.9,2016-09-10PalermoNapoli
11/09/16,Atalanta,Torino,2,1,H,2.6,3.2,2.6,2016-09-11,2016/2017,3,I1,2-1,1,0.0,2016-09-11AtalantaTorino
11/09/16,Bologna,Cagliari,2,1,H,2.1,3.3,3.3,2016-09-11,2016/2017,3,I1,2-1,1,-1.1999999999999997,2016-09-11BolognaCagliari
