Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
29/08/09,Real Madrid,La Coruna,3,2,H,1.25,5.0,12.0,2009-08-29,2009/2010,1,SP1,3-2,1,-10.75,2009-08-29Real MadridLa Coruna
29/08/09,Zaragoza,Tenerife,1,0,H,1.9,3.3,3.9,2009-08-29,2009/2010,1,SP1,1-0,1,-2.0,2009-08-29ZaragozaTenerife
30/08/09,Almeria,Valladolid,0,0,D,1.9,3.3,3.9,2009-08-30,2009/2010,1,SP1,0-0,0,-2.0,2009-08-30AlmeriaValladolid
30/08/09,Ath Bilbao,Espanol,1,0,H,2.15,3.25,3.25,2009-08-30,2009/2010,1,SP1,1-0,1,-1.1,2009-08-30Ath BilbaoEspanol
30/08/09,Malaga,Ath Madrid,3,0,H,3.2,3.2,2.2,2009-08-30,2009/2010,1,SP1,3-0,3,1.0,2009-08-30MalagaAth Madrid
30/08/09,Mallorca,Xerez,2,0,H,1.8,3.4,4.3,2009-08-30,2009/2010,1,SP1,2-0,2,-2.5,2009-08-30MallorcaXerez
30/08/09,Osasuna,Villarreal,1,1,D,2.7,3.2,2.5,2009-08-30,2009/2010,1,SP1,1-1,0,0.20000000000000018,2009-08-30OsasunaVillarreal
30/08/09,Santander,Getafe,1,4,A,2.1,3.25,3.4,2009-08-30,2009/2010,1,SP1,1-4,-3,-1.2999999999999998,2009-08-30SantanderGetafe
30/08/09,Valencia,Sevilla,2,0,H,2.15,3.25,3.25,2009-08-30,2009/2010,1,SP1,2-0,2,-1.1,2009-08-30ValenciaSevilla
31/08/09,Barcelona,Sp Gijon,3,0,H,1.17,6.0,15.0,2009-08-31,2009/2010,2,SP1,3-0,3,-13.83,2009-08-31BarcelonaSp Gijon
12/09/09,Ath Madrid,Santander,1,1,D,1.4,4.5,7.0,2009-09-12,2009/2010,2,SP1,1-1,0,-5.6,2009-09-12Ath MadridSantander
12/09/09,Espanol,Real Madrid,0,3,A,5.4,3.7,1.6,2009-09-12,2009/2010,2,SP1,0-3,-3,3.8000000000000003,2009-09-12EspanolReal Madrid
12/09/09,Getafe,Barcelona,0,2,A,6.0,3.7,1.55,2009-09-12,2009/2010,2,SP1,0-2,-2,4.45,2009-09-12GetafeBarcelona
12/09/09,Sevilla,Zaragoza,4,1,H,1.45,4.0,7.0,2009-09-12,2009/2010,2,SP1,4-1,3,-5.55,2009-09-12SevillaZaragoza
13/09/09,La Coruna,Malaga,1,0,H,1.85,3.4,4.0,2009-09-13,2009/2010,2,SP1,1-0,1,-2.15,2009-09-13La CorunaMalaga
