Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
18/09/2020,Bayern Munich,Schalke 04,8,0,H,1.15,8.0,18.0,2020-09-18,2020/2021,1,D1,8-0,8,-16.85,2020-09-18Bayern MunichSchalke 04
19/09/2020,Ein Frankfurt,Bielefeld,1,1,D,1.7,4.0,4.7,2020-09-19,2020/2021,1,D1,1-1,0,-3.0,2020-09-19Ein FrankfurtBielefeld
19/09/2020,FC Koln,Hoffenheim,2,3,A,2.6,3.55,2.6,2020-09-19,2020/2021,1,D1,2-3,-1,0.0,2020-09-19FC KolnHoffenheim
19/09/2020,Stuttgart,Freiburg,2,3,A,2.3,3.4,3.1,2020-09-19,2020/2021,1,D1,2-3,-1,-0.8000000000000003,2020-09-19StuttgartFreiburg
19/09/2020,Union Berlin,Augsburg,1,3,A,2.3,3.3,3.2,2020-09-19,2020/2021,1,D1,1-3,-2,-0.9000000000000004,2020-09-19Union BerlinAugsburg
19/09/2020,Werder Bremen,Hertha,1,4,A,2.65,3.4,2.65,2020-09-19,2020/2021,1,D1,1-4,-3,0.0,2020-09-19Werder BremenHertha
19/09/2020,Dortmund,M'gladbach,3,0,H,1.67,4.3,4.6,2020-09-19,2020/2021,1,D1,3-0,3,-2.9299999999999997,2020-09-19DortmundM'gladbach
20/09/2020,RB Leipzig,Mainz,3,1,H,1.4,5.5,6.75,2020-09-20,2020/2021,1,D1,3-1,2,-5.35,2020-09-20RB LeipzigMainz
20/09/2020,Wolfsburg,Leverkusen,0,0,D,2.7,3.6,2.5,2020-09-20,2020/2021,1,D1,0-0,0,0.20000000000000018,2020-09-20WolfsburgLeverkusen
25/09/2020,Hertha,Ein Frankfurt,1,3,A,2.35,3.7,2.8,2020-09-25,2020/2021,2,D1,1-3,-2,-0.44999999999999973,2020-09-25HerthaEin Frankfurt
26/09/2020,Augsburg,Dortmund,2,0,H,6.75,4.7,1.43,2020-09-26,2020/2021,2,D1,2-0,2,5.32,2020-09-26AugsburgDortmund
26/09/2020,Bielefeld,FC Koln,1,0,H,2.7,3.3,2.55,2020-09-26,2020/2021,2,D1,1-0,1,0.15000000000000036,2020-09-26BielefeldFC Koln
26/09/2020,Leverkusen,RB Leipzig,1,1,D,3.05,3.45,2.25,2020-09-26,2020/2021,2,D1,1-1,0,0.7999999999999998,2020-09-26LeverkusenRB Leipzig
26/09/2020,Mainz,Stuttgart,1,4,A,2.45,3.35,2.8,2020-09-26,2020/2021,2,D1,1-4,-3,-0.34999999999999964,2020-09-26MainzStuttgart
26/09/2020,M'gladbach,Union Berlin,1,1,D,1.45,4.4,7.0,2020-09-26,2020/2021,2,D1,1-1,0,-5.55,2020-09-26M'gladbachUnion Berlin
26/09/2020,Schalke 04,Werder Bremen,1,3,A,2.55,3.2,2.75,2020-09-26,2020/2021,2,D1,1-3,-2,-0.20000000000000018,2020-09-26Schalke 04Werder Bremen
27/09/2020,Hoffenheim,Bayern Munich,4,1,H,12.0,7.5,1.2,2020-09-27,2020/2021,2,D1,4-1,3,10.8,2020-09-27HoffenheimBayern Munich
27/09/2020,Freiburg,Wolfsburg,1,1,D,3.05,3.25,2.35,2020-09-27,2020/2021,2,D1,1-1,0,0.6999999999999997,2020-09-27FreiburgWolfsburg
02/10/2020,Union Berlin,Mainz,4,0,H,2.2,3.5,3.25,2020-10-02,2020/2021,3,D1,4-0,4,-1.0499999999999998,2020-10-02Union BerlinMainz
