Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
25/08/07,Juventus,Livorno,5,1,H,1.3,4.4,8.5,2007-08-25,2007/2008,1,I1,5-1,4,-7.2,2007-08-25JuventusLivorno
25/08/07,Lazio,Torino,2,2,D,1.75,3.2,4.3,2007-08-25,2007/2008,1,I1,2-2,0,-2.55,2007-08-25LazioTorino
26/08/07,Fiorentina,Empoli,3,1,H,1.6,3.4,5.2,2007-08-26,2007/2008,1,I1,3-1,2,-3.6,2007-08-26FiorentinaEmpoli
26/08/07,Genoa,Milan,0,3,A,4.7,3.2,1.7,2007-08-26,2007/2008,1,I1,0-3,-3,3.0,2007-08-26GenoaMilan
26/08/07,Inter,Udinese,1,1,D,1.27,4.4,10.0,2007-08-26,2007/2008,1,I1,1-1,0,-8.73,2007-08-26InterUdinese
26/08/07,Napoli,Cagliari,0,2,A,1.85,3.0,4.2,2007-08-26,2007/2008,1,I1,0-2,-2,-2.35,2007-08-26NapoliCagliari
26/08/07,Palermo,Roma,0,2,A,3.1,3.0,2.2,2007-08-26,2007/2008,1,I1,0-2,-2,0.8999999999999999,2007-08-26PalermoRoma
26/08/07,Parma,Catania,2,2,D,1.9,3.0,4.0,2007-08-26,2007/2008,1,I1,2-2,0,-2.1,2007-08-26ParmaCatania
26/08/07,Reggina,Atalanta,1,1,D,2.1,2.9,3.4,2007-08-26,2007/2008,1,I1,1-1,0,-1.2999999999999998,2007-08-26RegginaAtalanta
26/08/07,Siena,Sampdoria,1,2,A,2.4,2.9,2.9,2007-08-26,2007/2008,2,I1,1-2,-1,-0.5,2007-08-26SienaSampdoria
01/09/07,Empoli,Inter,0,2,A,6.0,3.6,1.5,2007-09-01,2007/2008,2,I1,0-2,-2,4.5,2007-09-01EmpoliInter
02/09/07,Atalanta,Parma,2,0,H,2.0,3.1,3.4,2007-09-02,2007/2008,2,I1,2-0,2,-1.4,2007-09-02AtalantaParma
02/09/07,Cagliari,Juventus,2,3,A,4.2,3.1,1.8,2007-09-02,2007/2008,2,I1,2-3,-1,2.4000000000000004,2007-09-02CagliariJuventus
02/09/07,Catania,Genoa,0,0,D,2.2,3.0,3.1,2007-09-02,2007/2008,2,I1,0-0,0,-0.8999999999999999,2007-09-02CataniaGenoa
02/09/07,Livorno,Palermo,2,4,A,2.6,3.0,2.6,2007-09-02,2007/2008,2,I1,2-4,-2,0.0,2007-09-02LivornoPalermo
02/09/07,Roma,Siena,3,0,H,1.25,4.6,10.5,2007-09-02,2007/2008,2,I1,3-0,3,-9.25,2007-09-02RomaSiena
02/09/07,Sampdoria,Lazio,0,0,D,2.2,3.0,3.1,2007-09-02,2007/2008,2,I1,0-0,0,-0.8999999999999999,2007-09-02SampdoriaLazio
02/09/07,Torino,Reggina,2,2,D,1.85,3.0,4.2,2007-09-02,2007/2008,2,I1,2-2,0,-2.35,2007-09-02TorinoReggina
02/09/07,Udinese,Napoli,0,5,A,1.85,3.1,4.0,2007-09-02,2007/2008,3,I1,0-5,-5,-2.15,2007-09-02UdineseNapoli
03/09/07,Milan,Fiorentina,1,1,D,1.5,3.5,6.3,2007-09-03,2007/2008,3,I1,1-1,0,-4.8,2007-09-03MilanFiorentina
15/09/07,Lazio,Empoli,0,0,D,1.55,3.4,5.8,2007-09-15,2007/2008,3,I1,0-0,0,-4.25,2007-09-15LazioEmpoli
15/09/07,Siena,Milan,1,1,D,6.3,3.5,1.5,2007-09-15,2007/2008,3,I1,1-1,0,4.8,2007-09-15SienaMilan
16/09/07,Fiorentina,Atalanta,2,2,D,1.5,3.5,6.3,2007-09-16,2007/2008,3,I1,2-2,0,-4.8,2007-09-16FiorentinaAtalanta
16/09/07,Genoa,Livorno,1,1,D,1.8,3.1,4.2,2007-09-16,2007/2008,3,I1,1-1,0,-2.4000000000000004,2007-09-16GenoaLivorno
16/09/07,Inter,Catania,2,0,H,1.2,5.0,12.0,2007-09-16,2007/2008,3,I1,2-0,2,-10.8,2007-09-16InterCatania
16/09/07,Juventus,Udinese,0,1,A,1.33,4.2,8.0,2007-09-16,2007/2008,3,I1,0-1,-1,-6.67,2007-09-16JuventusUdinese
16/09/07,Napoli,Sampdoria,2,0,H,2.2,3.0,3.1,2007-09-16,2007/2008,3,I1,2-0,2,-0.8999999999999999,2007-09-16NapoliSampdoria
16/09/07,Palermo,Torino,1,1,D,1.75,3.2,4.3,2007-09-16,2007/2008,4,I1,1-1,0,-2.55,2007-09-16PalermoTorino
16/09/07,Parma,Cagliari,1,1,D,2.1,3.0,3.3,2007-09-16,2007/2008,4,I1,1-1,0,-1.1999999999999997,2007-09-16ParmaCagliari
