Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
05/08/11,Dortmund,Hamburg,3,1,H,1.65,3.5,4.6,2011-08-05,2011/2012,1,D1,3-1,2,-2.9499999999999997,2011-08-05DortmundHamburg
06/08/11,Augsburg,Freiburg,2,2,D,2.3,3.3,2.75,2011-08-06,2011/2012,1,D1,2-2,0,-0.4500000000000002,2011-08-06AugsburgFreiburg
06/08/11,FC Koln,Wolfsburg,0,3,A,2.65,3.3,2.4,2011-08-06,2011/2012,1,D1,0-3,-3,0.25,2011-08-06FC KolnWolfsburg
06/08/11,Hannover,Hoffenheim,2,1,H,2.2,3.3,2.9,2011-08-06,2011/2012,1,D1,2-1,1,-0.6999999999999997,2011-08-06HannoverHoffenheim
06/08/11,Hertha,Nurnberg,0,1,A,2.1,3.3,3.1,2011-08-06,2011/2012,1,D1,0-1,-1,-1.0,2011-08-06HerthaNurnberg
06/08/11,Stuttgart,Schalke 04,3,0,H,2.3,3.3,2.75,2011-08-06,2011/2012,1,D1,3-0,3,-0.4500000000000002,2011-08-06StuttgartSchalke 04
06/08/11,Werder Bremen,Kaiserslautern,2,0,H,1.7,3.5,4.4,2011-08-06,2011/2012,1,D1,2-0,2,-2.7,2011-08-06Werder BremenKaiserslautern
07/08/11,Bayern Munich,M'gladbach,0,1,A,1.25,5.0,10.0,2011-08-07,2011/2012,1,D1,0-1,-1,-8.75,2011-08-07Bayern MunichM'gladbach
07/08/11,Mainz,Leverkusen,2,0,H,3.3,3.3,2.0,2011-08-07,2011/2012,1,D1,2-0,2,1.2999999999999998,2011-08-07MainzLeverkusen
13/08/11,Freiburg,Mainz,1,2,A,2.3,3.3,2.75,2011-08-13,2011/2012,2,D1,1-2,-1,-0.4500000000000002,2011-08-13FreiburgMainz
13/08/11,Hamburg,Hertha,2,2,D,1.85,3.4,3.8,2011-08-13,2011/2012,2,D1,2-2,0,-1.9499999999999997,2011-08-13HamburgHertha
13/08/11,Hoffenheim,Dortmund,1,0,H,4.0,3.4,1.8,2011-08-13,2011/2012,2,D1,1-0,1,2.2,2011-08-13HoffenheimDortmund
13/08/11,M'gladbach,Stuttgart,1,1,D,2.6,3.3,2.4,2011-08-13,2011/2012,2,D1,1-1,0,0.20000000000000018,2011-08-13M'gladbachStuttgart
13/08/11,Nurnberg,Hannover,1,2,A,2.3,3.3,2.75,2011-08-13,2011/2012,2,D1,1-2,-1,-0.4500000000000002,2011-08-13NurnbergHannover
13/08/11,Schalke 04,FC Koln,5,1,H,1.55,3.7,5.4,2011-08-13,2011/2012,2,D1,5-1,4,-3.8500000000000005,2011-08-13Schalke 04FC Koln
13/08/11,Wolfsburg,Bayern Munich,0,1,A,3.7,3.3,1.9,2011-08-13,2011/2012,2,D1,0-1,-1,1.8000000000000003,2011-08-13WolfsburgBayern Munich
14/08/11,Kaiserslautern,Augsburg,1,1,D,1.9,3.3,3.7,2011-08-14,2011/2012,2,D1,1-1,0,-1.8000000000000003,2011-08-14KaiserslauternAugsburg
14/08/11,Leverkusen,Werder Bremen,1,0,H,1.9,3.4,3.55,2011-08-14,2011/2012,2,D1,1-0,1,-1.65,2011-08-14LeverkusenWerder Bremen
19/08/11,M'gladbach,Wolfsburg,4,1,H,2.5,3.3,2.5,2011-08-19,2011/2012,3,D1,4-1,3,0.0,2011-08-19M'gladbachWolfsburg
20/08/11,Augsburg,Hoffenheim,0,2,A,2.6,3.2,2.5,2011-08-20,2011/2012,3,D1,0-2,-2,0.10000000000000009,2011-08-20AugsburgHoffenheim
20/08/11,Bayern Munich,Hamburg,5,0,H,1.35,4.5,7.3,2011-08-20,2011/2012,3,D1,5-0,5,-5.949999999999999,2011-08-20Bayern MunichHamburg
20/08/11,Dortmund,Nurnberg,2,0,H,1.35,4.5,7.3,2011-08-20,2011/2012,3,D1,2-0,2,-5.949999999999999,2011-08-20DortmundNurnberg
20/08/11,FC Koln,Kaiserslautern,1,1,D,2.2,3.3,2.9,2011-08-20,2011/2012,3,D1,1-1,0,-0.6999999999999997,2011-08-20FC KolnKaiserslautern
20/08/11,Stuttgart,Leverkusen,0,1,A,2.4,3.3,2.6,2011-08-20,2011/2012,3,D1,0-1,-1,-0.20000000000000018,2011-08-20StuttgartLeverkusen
20/08/11,Werder Bremen,Freiburg,5,3,H,1.5,3.9,5.5,2011-08-20,2011/2012,3,D1,5-3,2,-4.0,2011-08-20Werder BremenFreiburg
21/08/11,Hannover,Hertha,1,1,D,1.9,3.3,3.7,2011-08-21,2011/2012,3,D1,1-1,0,-1.8000000000000003,2011-08-21HannoverHertha
21/08/11,Mainz,Schalke 04,2,4,A,2.4,3.2,2.7,2011-08-21,2011/2012,3,D1,2-4,-2,-0.30000000000000027,2011-08-21MainzSchalke 04
26/08/11,Hertha,Stuttgart,1,0,H,2.5,3.3,2.5,2011-08-26,2011/2012,4,D1,1-0,1,0.0,2011-08-26HerthaStuttgart
27/08/11,Freiburg,Wolfsburg,3,0,H,2.5,3.3,2.5,2011-08-27,2011/2012,4,D1,3-0,3,0.0,2011-08-27FreiburgWolfsburg
