Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
28/08/10,Roma,Cesena,0,0,D,1.25,5.0,10.0,2010-08-28,2010/2011,1,I1,0-0,0,-8.75,2010-08-28RomaCesena
28/08/10,Udinese,Genoa,0,1,A,2.4,3.1,2.8,2010-08-28,2010/2011,1,I1,0-1,-1,-0.3999999999999999,2010-08-28UdineseGenoa
29/08/10,Bari,Juventus,1,0,H,3.2,3.2,2.1,2010-08-29,2010/2011,1,I1,1-0,1,1.1,2010-08-29BariJuventus
29/08/10,Chievo,Catania,2,1,H,2.1,3.0,3.4,2010-08-29,2010/2011,1,I1,2-1,1,-1.2999999999999998,2010-08-29ChievoCatania
29/08/10,Fiorentina,Napoli,1,1,D,2.2,3.1,3.1,2010-08-29,2010/2011,1,I1,1-1,0,-0.8999999999999999,2010-08-29FiorentinaNapoli
29/08/10,Milan,Lecce,4,0,H,1.3,4.8,8.5,2010-08-29,2010/2011,1,I1,4-0,4,-7.2,2010-08-29MilanLecce
29/08/10,Palermo,Cagliari,0,0,D,1.7,3.4,4.5,2010-08-29,2010/2011,1,I1,0-0,0,-2.8,2010-08-29PalermoCagliari
29/08/10,Parma,Brescia,2,0,H,1.8,3.4,4.0,2010-08-29,2010/2011,1,I1,2-0,2,-2.2,2010-08-29ParmaBrescia
29/08/10,Sampdoria,Lazio,2,0,H,2.1,3.1,3.3,2010-08-29,2010/2011,1,I1,2-0,2,-1.1999999999999997,2010-08-29SampdoriaLazio
30/08/10,Bologna,Inter,0,0,D,5.0,3.6,1.6,2010-08-30,2010/2011,2,I1,0-0,0,3.4,2010-08-30BolognaInter
11/09/10,Cagliari,Roma,5,1,H,2.8,3.2,2.3,2010-09-11,2010/2011,2,I1,5-1,4,0.5,2010-09-11CagliariRoma
11/09/10,Cesena,Milan,2,0,H,5.5,3.9,1.5,2010-09-11,2010/2011,2,I1,2-0,2,4.0,2010-09-11CesenaMilan
11/09/10,Inter,Udinese,2,1,H,1.4,3.9,7.5,2010-09-11,2010/2011,2,I1,2-1,1,-6.1,2010-09-11InterUdinese
12/09/10,Brescia,Palermo,3,2,H,2.7,3.2,2.4,2010-09-12,2010/2011,2,I1,3-2,1,0.30000000000000027,2010-09-12BresciaPalermo
12/09/10,Catania,Parma,2,1,H,2.2,3.1,3.1,2010-09-12,2010/2011,2,I1,2-1,1,-0.8999999999999999,2010-09-12CataniaParma
12/09/10,Genoa,Chievo,1,3,A,1.6,3.6,5.0,2010-09-12,2010/2011,2,I1,1-3,-2,-3.4,2010-09-12GenoaChievo
12/09/10,Juventus,Sampdoria,3,3,D,1.75,3.4,4.3,2010-09-12,2010/2011,2,I1,3-3,0,-2.55,2010-09-12JuventusSampdoria
12/09/10,Lazio,Bologna,3,1,H,1.7,3.5,4.4,2010-09-12,2010/2011,2,I1,3-1,2,-2.7,2010-09-12LazioBologna
12/09/10,Lecce,Fiorentina,1,0,H,3.0,3.1,2.25,2010-09-12,2010/2011,3,I1,1-0,1,0.75,2010-09-12LecceFiorentina
12/09/10,Napoli,Bari,2,2,D,1.7,3.5,4.4,2010-09-12,2010/2011,3,I1,2-2,0,-2.7,2010-09-12NapoliBari
