game_id,HomeTeam,AwayTeam,home_score,away_score,season,datetime,elo_home,elo_away
2018-10-07SouthamptonChelsea,Southampton,Chelsea,0.0,3.0,2018/2019,2018-10-07,505.4498892527317,1049.0869097173559
2018-10-20BournemouthSouthampton,Bournemouth,Southampton,0.0,0.0,2018/2019,2018-10-20,682.8275955444071,511.7656880767078
2018-10-20CardiffFulham,Cardiff,Fulham,4.0,2.0,2018/2019,2018-10-20,385.03491291226345,356.98784330684094
2018-10-20ChelseaMan United,Chelsea,Man United,2.0,2.0,2018/2019,2018-10-20,1048.6237517017676,1034.279485256405
2018-10-20HuddersfieldLiverpool,Huddersfield,Liverpool,0.0,1.0,2018/2019,2018-10-20,479.15321098953837,1154.4757833331269
2018-10-20Man CityBurnley,Man City,Burnley,5.0,0.0,2018/2019,2018-10-20,1545.2746657522202,675.1402670290728
2018-10-20NewcastleBrighton,Newcastle,Brighton,0.0,1.0,2018/2019,2018-10-20,704.0219005931456,826.7902260504846
2018-10-20West HamTottenham,West Ham,Tottenham,0.0,1.0,2018/2019,2018-10-20,549.1376656944118,1185.2087480890063
2018-10-20WolvesWatford,Wolves,Watford,0.0,2.0,2018/2019,2018-10-20,476.7282219793906,560.0232603979023
2018-10-21EvertonCrystal Palace,Everton,Crystal Palace,2.0,0.0,2018/2019,2018-10-21,715.813940709336,706.5878569855455
2018-10-22ArsenalLeicester,Arsenal,Leicester,3.0,1.0,2018/2019,2018-10-22,1025.6859674049394,629.1572784759146
2018-10-27BrightonWolves,Brighton,Wolves,1.0,0.0,2018/2019,2018-10-27,832.7202581600861,475.109608793815
2018-10-27FulhamBournemouth,Fulham,Bournemouth,0.0,3.0,2018/2019,2018-10-27,364.71968560889854,682.6176129237593
2018-10-27LeicesterWest Ham,Leicester,West Ham,1.0,1.0,2018/2019,2018-10-27,618.5301091230548,560.0290928016816
2018-10-27LiverpoolCardiff,Liverpool,Cardiff,4.0,1.0,2018/2019,2018-10-27,1160.135377918703,378.89617847108775
2018-10-27SouthamptonNewcastle,Southampton,Newcastle,0.0,0.0,2018/2019,2018-10-27,520.7637171777835,707.4691710658929
2018-10-27WatfordHuddersfield,Watford,Huddersfield,3.0,0.0,2018/2019,2018-10-27,572.7025678937989,470.30692548124665
2018-10-28BurnleyChelsea,Burnley,Chelsea,0.0,4.0,2018/2019,2018-10-28,653.4611519705293,1069.8548384382227
2018-10-28Crystal PalaceArsenal,Crystal Palace,Arsenal,2.0,2.0,2018/2019,2018-10-28,705.9712216064839,1024.1725030634632
2018-10-28Man UnitedEverton,Man United,Everton,2.0,1.0,2018/2019,2018-10-28,1032.4827842118352,708.3503631458359
