Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
28/08/10,Hercules,Ath Bilbao,0,1,A,2.6,3.1,2.5,2010-08-28,2010/2011,1,SP1,0-1,-1,0.10000000000000009,2010-08-28HerculesAth Bilbao
28/08/10,Levante,Sevilla,1,4,A,3.1,3.3,2.1,2010-08-28,2010/2011,1,SP1,1-4,-3,1.0,2010-08-28LevanteSevilla
28/08/10,Malaga,Valencia,1,3,A,2.7,3.2,2.4,2010-08-28,2010/2011,1,SP1,1-3,-2,0.30000000000000027,2010-08-28MalagaValencia
29/08/10,Espanol,Getafe,3,1,H,2.0,3.2,3.4,2010-08-29,2010/2011,1,SP1,3-1,2,-1.4,2010-08-29EspanolGetafe
29/08/10,La Coruna,Zaragoza,0,0,D,2.0,3.2,3.4,2010-08-29,2010/2011,1,SP1,0-0,0,-1.4,2010-08-29La CorunaZaragoza
29/08/10,Mallorca,Real Madrid,0,0,D,7.0,4.1,1.4,2010-08-29,2010/2011,1,SP1,0-0,0,5.6,2010-08-29MallorcaReal Madrid
29/08/10,Osasuna,Almeria,0,0,D,2.0,3.2,3.4,2010-08-29,2010/2011,1,SP1,0-0,0,-1.4,2010-08-29OsasunaAlmeria
29/08/10,Santander,Barcelona,0,3,A,9.0,5.0,1.27,2010-08-29,2010/2011,1,SP1,0-3,-3,7.73,2010-08-29SantanderBarcelona
29/08/10,Sociedad,Villarreal,1,0,H,2.7,3.2,2.4,2010-08-29,2010/2011,1,SP1,1-0,1,0.30000000000000027,2010-08-29SociedadVillarreal
30/08/10,Ath Madrid,Sp Gijon,4,0,H,1.5,3.8,5.7,2010-08-30,2010/2011,2,SP1,4-0,4,-4.2,2010-08-30Ath MadridSp Gijon
11/09/10,Ath Bilbao,Ath Madrid,1,2,A,2.75,3.3,2.3,2010-09-11,2010/2011,2,SP1,1-2,-1,0.4500000000000002,2010-09-11Ath BilbaoAth Madrid
11/09/10,Barcelona,Hercules,0,2,A,1.07,7.5,20.0,2010-09-11,2010/2011,2,SP1,0-2,-2,-18.93,2010-09-11BarcelonaHercules
11/09/10,Real Madrid,Osasuna,1,0,H,1.15,6.2,14.0,2010-09-11,2010/2011,2,SP1,1-0,1,-12.85,2010-09-11Real MadridOsasuna
11/09/10,Valencia,Santander,1,0,H,1.5,3.9,5.5,2010-09-11,2010/2011,2,SP1,1-0,1,-4.0,2010-09-11ValenciaSantander
12/09/10,Getafe,Levante,4,1,H,1.6,3.6,5.0,2010-09-12,2010/2011,2,SP1,4-1,3,-3.4,2010-09-12GetafeLevante
12/09/10,Sevilla,La Coruna,0,0,D,1.55,3.8,5.2,2010-09-12,2010/2011,2,SP1,0-0,0,-3.6500000000000004,2010-09-12SevillaLa Coruna
12/09/10,Sp Gijon,Mallorca,2,0,H,2.3,3.2,2.8,2010-09-12,2010/2011,2,SP1,2-0,2,-0.5,2010-09-12Sp GijonMallorca
12/09/10,Villarreal,Espanol,4,0,H,1.75,3.4,4.3,2010-09-12,2010/2011,2,SP1,4-0,4,-2.55,2010-09-12VillarrealEspanol
12/09/10,Zaragoza,Malaga,3,5,A,1.9,3.3,3.7,2010-09-12,2010/2011,3,SP1,3-5,-2,-1.8000000000000003,2010-09-12ZaragozaMalaga
13/09/10,Almeria,Sociedad,2,2,D,2.2,3.3,2.9,2010-09-13,2010/2011,3,SP1,2-2,0,-0.6999999999999997,2010-09-13AlmeriaSociedad
18/09/10,Espanol,Almeria,1,0,H,2.0,3.2,3.4,2010-09-18,2010/2011,3,SP1,1-0,1,-1.4,2010-09-18EspanolAlmeria
18/09/10,Mallorca,Osasuna,2,0,H,1.85,3.4,3.8,2010-09-18,2010/2011,3,SP1,2-0,2,-1.9499999999999997,2010-09-18MallorcaOsasuna
18/09/10,Sociedad,Real Madrid,1,2,A,7.0,4.1,1.4,2010-09-18,2010/2011,3,SP1,1-2,-1,5.6,2010-09-18SociedadReal Madrid
18/09/10,Sp Gijon,Ath Bilbao,2,2,D,2.4,3.3,2.6,2010-09-18,2010/2011,3,SP1,2-2,0,-0.20000000000000018,2010-09-18Sp GijonAth Bilbao
19/09/10,Ath Madrid,Barcelona,1,2,A,4.0,3.6,1.75,2010-09-19,2010/2011,3,SP1,1-2,-1,2.25,2010-09-19Ath MadridBarcelona
19/09/10,Hercules,Valencia,1,2,A,2.9,3.3,2.2,2010-09-19,2010/2011,3,SP1,1-2,-1,0.6999999999999997,2010-09-19HerculesValencia
19/09/10,Levante,Villarreal,1,2,A,3.3,3.3,2.0,2010-09-19,2010/2011,3,SP1,1-2,-1,1.2999999999999998,2010-09-19LevanteVillarreal
19/09/10,Malaga,Sevilla,1,2,A,3.1,3.3,2.1,2010-09-19,2010/2011,4,SP1,1-2,-1,1.0,2010-09-19MalagaSevilla
19/09/10,Santander,Zaragoza,2,0,H,2.2,3.3,2.9,2010-09-19,2010/2011,4,SP1,2-0,2,-0.6999999999999997,2010-09-19SantanderZaragoza
20/09/10,La Coruna,Getafe,2,2,D,2.2,3.2,3.0,2010-09-20,2010/2011,4,SP1,2-2,0,-0.7999999999999998,2010-09-20La CorunaGetafe
21/09/10,Ath Bilbao,Mallorca,3,0,H,2.0,3.3,3.3,2010-09-21,2010/2011,4,SP1,3-0,3,-1.2999999999999998,2010-09-21Ath BilbaoMallorca
21/09/10,Osasuna,Sociedad,3,1,H,2.1,3.1,3.3,2010-09-21,2010/2011,4,SP1,3-1,2,-1.1999999999999997,2010-09-21OsasunaSociedad
21/09/10,Real Madrid,Espanol,3,0,H,1.15,6.2,14.0,2010-09-21,2010/2011,4,SP1,3-0,3,-12.85,2010-09-21Real MadridEspanol
22/09/10,Almeria,Levante,0,1,A,1.85,3.3,4.0,2010-09-22,2010/2011,4,SP1,0-1,-1,-2.15,2010-09-22AlmeriaLevante
22/09/10,Barcelona,Sp Gijon,1,0,H,1.12,7.0,14.0,2010-09-22,2010/2011,4,SP1,1-0,1,-12.879999999999999,2010-09-22BarcelonaSp Gijon
22/09/10,Valencia,Ath Madrid,1,1,D,2.2,3.3,2.9,2010-09-22,2010/2011,4,SP1,1-1,0,-0.6999999999999997,2010-09-22ValenciaAth Madrid
22/09/10,Zaragoza,Hercules,0,0,D,2.0,3.3,3.3,2010-09-22,2010/2011,5,SP1,0-0,0,-1.2999999999999998,2010-09-22ZaragozaHercules
23/09/10,Getafe,Malaga,0,2,A,1.8,3.4,4.0,2010-09-23,2010/2011,5,SP1,0-2,-2,-2.2,2010-09-23GetafeMalaga
23/09/10,Sevilla,Santander,1,1,D,1.45,3.9,6.5,2010-09-23,2010/2011,5,SP1,1-1,0,-5.05,2010-09-23SevillaSantander
23/09/10,Villarreal,La Coruna,1,0,H,1.75,3.4,4.3,2010-09-23,2010/2011,5,SP1,1-0,1,-2.55,2010-09-23VillarrealLa Coruna
25/09/10,Ath Bilbao,Barcelona,1,3,A,5.0,3.6,1.6,2010-09-25,2010/2011,5,SP1,1-3,-2,3.4,2010-09-25Ath BilbaoBarcelona
25/09/10,Levante,Real Madrid,0,0,D,8.0,5.0,1.3,2010-09-25,2010/2011,5,SP1,0-0,0,6.7,2010-09-25LevanteReal Madrid
25/09/10,Sp Gijon,Valencia,0,2,A,3.1,3.3,2.1,2010-09-25,2010/2011,5,SP1,0-2,-2,1.0,2010-09-25Sp GijonValencia
26/09/10,Ath Madrid,Zaragoza,1,0,H,1.5,3.9,5.5,2010-09-26,2010/2011,5,SP1,1-0,1,-4.0,2010-09-26Ath MadridZaragoza
26/09/10,Espanol,Osasuna,1,0,H,2.1,3.1,3.3,2010-09-26,2010/2011,5,SP1,1-0,1,-1.1999999999999997,2010-09-26EspanolOsasuna
26/09/10,Hercules,Sevilla,2,0,H,3.0,3.2,2.2,2010-09-26,2010/2011,6,SP1,2-0,2,0.7999999999999998,2010-09-26HerculesSevilla
26/09/10,La Coruna,Almeria,0,2,A,2.05,3.2,3.3,2010-09-26,2010/2011,6,SP1,0-2,-2,-1.25,2010-09-26La CorunaAlmeria
26/09/10,Mallorca,Sociedad,2,0,H,2.0,3.3,3.3,2010-09-26,2010/2011,6,SP1,2-0,2,-1.2999999999999998,2010-09-26MallorcaSociedad
26/09/10,Santander,Getafe,0,1,A,2.3,3.2,2.8,2010-09-26,2010/2011,6,SP1,0-1,-1,-0.5,2010-09-26SantanderGetafe
27/09/10,Malaga,Villarreal,2,3,A,2.65,3.3,2.4,2010-09-27,2010/2011,6,SP1,2-3,-1,0.25,2010-09-27MalagaVillarreal
