Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
20/08/10,Bayern Munich,Wolfsburg,2,1,H,1.6,3.6,5.0,2010-08-20,2010/2011,1,D1,2-1,1,-3.4,2010-08-20Bayern MunichWolfsburg
21/08/10,FC Koln,Kaiserslautern,1,3,A,2.1,3.3,3.1,2010-08-21,2010/2011,1,D1,1-3,-2,-1.0,2010-08-21FC KolnKaiserslautern
21/08/10,Freiburg,St Pauli,1,3,A,2.2,3.3,2.9,2010-08-21,2010/2011,1,D1,1-3,-2,-0.6999999999999997,2010-08-21FreiburgSt Pauli
21/08/10,Hamburg,Schalke 04,2,1,H,2.3,3.2,2.8,2010-08-21,2010/2011,1,D1,2-1,1,-0.5,2010-08-21HamburgSchalke 04
21/08/10,Hannover,Ein Frankfurt,2,1,H,2.3,3.3,2.75,2010-08-21,2010/2011,1,D1,2-1,1,-0.4500000000000002,2010-08-21HannoverEin Frankfurt
21/08/10,Hoffenheim,Werder Bremen,4,1,H,2.5,3.3,2.5,2010-08-21,2010/2011,1,D1,4-1,3,0.0,2010-08-21HoffenheimWerder Bremen
21/08/10,M'gladbach,Nurnberg,1,1,D,2.0,3.3,3.3,2010-08-21,2010/2011,1,D1,1-1,0,-1.2999999999999998,2010-08-21M'gladbachNurnberg
22/08/10,Dortmund,Leverkusen,0,2,A,2.3,3.3,2.75,2010-08-22,2010/2011,1,D1,0-2,-2,-0.4500000000000002,2010-08-22DortmundLeverkusen
22/08/10,Mainz,Stuttgart,2,0,H,3.0,3.2,2.2,2010-08-22,2010/2011,1,D1,2-0,2,0.7999999999999998,2010-08-22MainzStuttgart
27/08/10,Kaiserslautern,Bayern Munich,2,0,H,5.3,3.9,1.53,2010-08-27,2010/2011,2,D1,2-0,2,3.7699999999999996,2010-08-27KaiserslauternBayern Munich
28/08/10,Ein Frankfurt,Hamburg,1,3,A,2.8,3.2,2.3,2010-08-28,2010/2011,2,D1,1-3,-2,0.5,2010-08-28Ein FrankfurtHamburg
28/08/10,Nurnberg,Freiburg,1,2,A,2.0,3.3,3.3,2010-08-28,2010/2011,2,D1,1-2,-1,-1.2999999999999998,2010-08-28NurnbergFreiburg
28/08/10,Schalke 04,Hannover,1,2,A,1.35,4.5,7.3,2010-08-28,2010/2011,2,D1,1-2,-1,-5.949999999999999,2010-08-28Schalke 04Hannover
28/08/10,St Pauli,Hoffenheim,0,1,A,2.7,3.3,2.3,2010-08-28,2010/2011,2,D1,0-1,-1,0.40000000000000036,2010-08-28St PauliHoffenheim
28/08/10,Werder Bremen,FC Koln,4,2,H,1.35,4.5,7.3,2010-08-28,2010/2011,2,D1,4-2,2,-5.949999999999999,2010-08-28Werder BremenFC Koln
28/08/10,Wolfsburg,Mainz,3,4,A,1.65,3.5,4.6,2010-08-28,2010/2011,2,D1,3-4,-1,-2.9499999999999997,2010-08-28WolfsburgMainz
29/08/10,Leverkusen,M'gladbach,3,6,A,1.45,3.9,6.5,2010-08-29,2010/2011,2,D1,3-6,-3,-5.05,2010-08-29LeverkusenM'gladbach
29/08/10,Stuttgart,Dortmund,1,3,A,2.4,3.2,2.7,2010-08-29,2010/2011,2,D1,1-3,-2,-0.30000000000000027,2010-08-29StuttgartDortmund
