Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
10/08/07,Stuttgart,Schalke 04,2,2,D,2.3,3.1,2.8,2007-08-10,2007/2008,1,D1,2-2,0,-0.5,2007-08-10StuttgartSchalke 04
11/08/07,Bayern Munich,Hansa Rostock,3,0,H,1.2,5.2,11.0,2007-08-11,2007/2008,1,D1,3-0,3,-9.8,2007-08-11Bayern MunichHansa Rostock
11/08/07,Bochum,Werder Bremen,2,2,D,3.2,3.1,2.1,2007-08-11,2007/2008,1,D1,2-2,0,1.1,2007-08-11BochumWerder Bremen
11/08/07,Ein Frankfurt,Hertha,1,0,H,2.2,3.1,3.0,2007-08-11,2007/2008,1,D1,1-0,1,-0.7999999999999998,2007-08-11Ein FrankfurtHertha
11/08/07,Hannover,Hamburg,0,1,A,2.5,3.1,2.6,2007-08-11,2007/2008,1,D1,0-1,-1,-0.10000000000000009,2007-08-11HannoverHamburg
11/08/07,Leverkusen,Cottbus,0,0,D,1.55,3.7,5.0,2007-08-11,2007/2008,1,D1,0-0,0,-3.45,2007-08-11LeverkusenCottbus
11/08/07,Wolfsburg,Bielefeld,1,3,A,1.75,3.3,4.0,2007-08-11,2007/2008,1,D1,1-3,-2,-2.25,2007-08-11WolfsburgBielefeld
12/08/07,Dortmund,Duisburg,1,3,A,1.55,3.7,5.0,2007-08-12,2007/2008,1,D1,1-3,-2,-3.45,2007-08-12DortmundDuisburg
12/08/07,Nurnberg,Karlsruhe,0,2,A,1.9,3.2,3.6,2007-08-12,2007/2008,1,D1,0-2,-2,-1.7000000000000002,2007-08-12NurnbergKarlsruhe
17/08/07,Karlsruhe,Hannover,1,2,A,2.2,3.1,3.0,2007-08-17,2007/2008,2,D1,1-2,-1,-0.7999999999999998,2007-08-17KarlsruheHannover
18/08/07,Bielefeld,Ein Frankfurt,2,2,D,2.1,3.1,3.2,2007-08-18,2007/2008,2,D1,2-2,0,-1.1,2007-08-18BielefeldEin Frankfurt
18/08/07,Duisburg,Wolfsburg,1,3,A,2.2,3.1,3.0,2007-08-18,2007/2008,2,D1,1-3,-2,-0.7999999999999998,2007-08-18DuisburgWolfsburg
18/08/07,Hansa Rostock,Nurnberg,1,2,A,2.4,3.2,2.6,2007-08-18,2007/2008,2,D1,1-2,-1,-0.20000000000000018,2007-08-18Hansa RostockNurnberg
