Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
15/08/09,Aston Villa,Wigan,0,2,A,1.7,3.5,4.9,2009-08-15,2009/2010,1,E0,0-2,-2,-3.2,2009-08-15Aston VillaWigan
15/08/09,Blackburn,Man City,0,2,A,3.2,3.2,2.2,2009-08-15,2009/2010,1,E0,0-2,-2,1.0,2009-08-15BlackburnMan City
15/08/09,Bolton,Sunderland,0,1,A,2.2,3.2,3.2,2009-08-15,2009/2010,1,E0,0-1,-1,-1.0,2009-08-15BoltonSunderland
15/08/09,Chelsea,Hull,2,1,H,1.2,5.5,14.0,2009-08-15,2009/2010,1,E0,2-1,1,-12.8,2009-08-15ChelseaHull
15/08/09,Everton,Arsenal,1,6,A,3.1,3.1,2.3,2009-08-15,2009/2010,1,E0,1-6,-5,0.8000000000000003,2009-08-15EvertonArsenal
15/08/09,Portsmouth,Fulham,0,1,A,2.5,3.2,2.7,2009-08-15,2009/2010,1,E0,0-1,-1,-0.20000000000000018,2009-08-15PortsmouthFulham
15/08/09,Stoke,Burnley,2,0,H,1.9,3.3,3.9,2009-08-15,2009/2010,1,E0,2-0,2,-2.0,2009-08-15StokeBurnley
15/08/09,Wolves,West Ham,0,2,A,2.55,3.3,2.55,2009-08-15,2009/2010,1,E0,0-2,-2,0.0,2009-08-15WolvesWest Ham
16/08/09,Man United,Birmingham,1,0,H,1.2,5.7,12.0,2009-08-16,2009/2010,1,E0,1-0,1,-10.8,2009-08-16Man UnitedBirmingham
16/08/09,Tottenham,Liverpool,2,1,H,3.1,3.1,2.3,2009-08-16,2009/2010,2,E0,2-1,1,0.8000000000000003,2009-08-16TottenhamLiverpool
18/08/09,Sunderland,Chelsea,1,3,A,6.7,3.8,1.5,2009-08-18,2009/2010,2,E0,1-3,-2,5.2,2009-08-18SunderlandChelsea
