Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
18/08/17,Bayern Munich,Leverkusen,3,1,H,1.3,6.0,8.5,2017-08-18,2017/2018,1,D1,3-1,2,-7.2,2017-08-18Bayern MunichLeverkusen
19/08/17,Hamburg,Augsburg,1,0,H,2.1,3.4,3.5,2017-08-19,2017/2018,1,D1,1-0,1,-1.4,2017-08-19HamburgAugsburg
19/08/17,Hertha,Stuttgart,2,0,H,2.0,3.4,3.8,2017-08-19,2017/2018,1,D1,2-0,2,-1.7999999999999998,2017-08-19HerthaStuttgart
19/08/17,Hoffenheim,Werder Bremen,1,0,H,1.8,3.7,4.3,2017-08-19,2017/2018,1,D1,1-0,1,-2.5,2017-08-19HoffenheimWerder Bremen
19/08/17,Mainz,Hannover,0,1,A,2.1,3.4,3.5,2017-08-19,2017/2018,1,D1,0-1,-1,-1.4,2017-08-19MainzHannover
19/08/17,Schalke 04,RB Leipzig,2,0,H,2.6,3.3,2.7,2017-08-19,2017/2018,1,D1,2-0,2,-0.10000000000000009,2017-08-19Schalke 04RB Leipzig
19/08/17,Wolfsburg,Dortmund,0,3,A,4.1,3.7,1.85,2017-08-19,2017/2018,1,D1,0-3,-3,2.2499999999999996,2017-08-19WolfsburgDortmund
20/08/17,Freiburg,Ein Frankfurt,0,0,D,2.4,3.4,2.9,2017-08-20,2017/2018,1,D1,0-0,0,-0.5,2017-08-20FreiburgEin Frankfurt
20/08/17,M'gladbach,FC Koln,1,0,H,2.1,3.4,3.5,2017-08-20,2017/2018,1,D1,1-0,1,-1.4,2017-08-20M'gladbachFC Koln
25/08/17,FC Koln,Hamburg,1,3,A,1.9,3.5,4.1,2017-08-25,2017/2018,2,D1,1-3,-2,-2.1999999999999997,2017-08-25FC KolnHamburg
26/08/17,Augsburg,M'gladbach,2,2,D,3.15,3.3,2.3,2017-08-26,2017/2018,2,D1,2-2,0,0.8500000000000001,2017-08-26AugsburgM'gladbach
26/08/17,Dortmund,Hertha,2,0,H,1.35,5.3,8.0,2017-08-26,2017/2018,2,D1,2-0,2,-6.65,2017-08-26DortmundHertha
26/08/17,Ein Frankfurt,Wolfsburg,0,1,A,2.3,3.3,3.15,2017-08-26,2017/2018,2,D1,0-1,-1,-0.8500000000000001,2017-08-26Ein FrankfurtWolfsburg
26/08/17,Leverkusen,Hoffenheim,2,2,D,2.2,3.4,3.25,2017-08-26,2017/2018,2,D1,2-2,0,-1.0499999999999998,2017-08-26LeverkusenHoffenheim
26/08/17,Stuttgart,Mainz,1,0,H,2.3,3.3,3.15,2017-08-26,2017/2018,2,D1,1-0,1,-0.8500000000000001,2017-08-26StuttgartMainz
26/08/17,Werder Bremen,Bayern Munich,0,2,A,9.0,6.5,1.27,2017-08-26,2017/2018,2,D1,0-2,-2,7.73,2017-08-26Werder BremenBayern Munich
27/08/17,Hannover,Schalke 04,1,0,H,3.25,3.4,2.2,2017-08-27,2017/2018,2,D1,1-0,1,1.0499999999999998,2017-08-27HannoverSchalke 04
27/08/17,RB Leipzig,Freiburg,4,1,H,1.45,4.5,7.0,2017-08-27,2017/2018,2,D1,4-1,3,-5.55,2017-08-27RB LeipzigFreiburg
08/09/17,Hamburg,RB Leipzig,0,2,A,4.1,3.5,1.9,2017-09-08,2017/2018,3,D1,0-2,-2,2.1999999999999997,2017-09-08HamburgRB Leipzig
09/09/17,Augsburg,FC Koln,3,0,H,2.5,3.2,2.95,2017-09-09,2017/2018,3,D1,3-0,3,-0.4500000000000002,2017-09-09AugsburgFC Koln
09/09/17,Freiburg,Dortmund,0,0,D,6.5,4.2,1.5,2017-09-09,2017/2018,3,D1,0-0,0,5.0,2017-09-09FreiburgDortmund
09/09/17,Hoffenheim,Bayern Munich,2,0,H,7.0,4.5,1.45,2017-09-09,2017/2018,3,D1,2-0,2,5.55,2017-09-09HoffenheimBayern Munich
09/09/17,Mainz,Leverkusen,3,1,H,2.65,3.3,2.65,2017-09-09,2017/2018,3,D1,3-1,2,0.0,2017-09-09MainzLeverkusen
09/09/17,M'gladbach,Ein Frankfurt,0,1,A,1.85,3.5,4.3,2017-09-09,2017/2018,3,D1,0-1,-1,-2.4499999999999997,2017-09-09M'gladbachEin Frankfurt
09/09/17,Wolfsburg,Hannover,1,1,D,2.0,3.4,3.8,2017-09-09,2017/2018,3,D1,1-1,0,-1.7999999999999998,2017-09-09WolfsburgHannover
10/09/17,Hertha,Werder Bremen,1,1,D,2.0,3.4,3.8,2017-09-10,2017/2018,3,D1,1-1,0,-1.7999999999999998,2017-09-10HerthaWerder Bremen
10/09/17,Schalke 04,Stuttgart,3,1,H,1.8,3.6,4.5,2017-09-10,2017/2018,3,D1,3-1,2,-2.7,2017-09-10Schalke 04Stuttgart
15/09/17,Hannover,Hamburg,2,0,H,2.2,3.3,3.35,2017-09-15,2017/2018,4,D1,2-0,2,-1.15,2017-09-15HannoverHamburg
16/09/17,Bayern Munich,Mainz,4,0,H,1.15,7.5,18.0,2017-09-16,2017/2018,4,D1,4-0,4,-16.85,2017-09-16Bayern MunichMainz
16/09/17,Ein Frankfurt,Augsburg,1,2,A,1.85,3.5,4.3,2017-09-16,2017/2018,4,D1,1-2,-1,-2.4499999999999997,2017-09-16Ein FrankfurtAugsburg
16/09/17,RB Leipzig,M'gladbach,2,2,D,1.7,3.7,5.0,2017-09-16,2017/2018,4,D1,2-2,0,-3.3,2017-09-16RB LeipzigM'gladbach
16/09/17,Stuttgart,Wolfsburg,1,0,H,2.4,3.3,2.95,2017-09-16,2017/2018,4,D1,1-0,1,-0.5500000000000003,2017-09-16StuttgartWolfsburg
16/09/17,Werder Bremen,Schalke 04,1,2,A,2.7,3.3,2.6,2017-09-16,2017/2018,4,D1,1-2,-1,0.10000000000000009,2017-09-16Werder BremenSchalke 04
17/09/17,Dortmund,FC Koln,5,0,H,1.27,6.5,9.0,2017-09-17,2017/2018,4,D1,5-0,5,-7.73,2017-09-17DortmundFC Koln
17/09/17,Hoffenheim,Hertha,1,1,D,1.75,3.6,4.8,2017-09-17,2017/2018,4,D1,1-1,0,-3.05,2017-09-17HoffenheimHertha
17/09/17,Leverkusen,Freiburg,4,0,H,1.55,4.0,6.2,2017-09-17,2017/2018,4,D1,4-0,4,-4.65,2017-09-17LeverkusenFreiburg
19/09/17,Augsburg,RB Leipzig,1,0,H,3.3,3.35,2.2,2017-09-19,2017/2018,5,D1,1-0,1,1.0999999999999996,2017-09-19AugsburgRB Leipzig
19/09/17,M'gladbach,Stuttgart,2,0,H,1.7,3.7,5.0,2017-09-19,2017/2018,5,D1,2-0,2,-3.3,2017-09-19M'gladbachStuttgart
19/09/17,Schalke 04,Bayern Munich,0,3,A,7.0,4.5,1.45,2017-09-19,2017/2018,5,D1,0-3,-3,5.55,2017-09-19Schalke 04Bayern Munich
19/09/17,Wolfsburg,Werder Bremen,1,1,D,2.1,3.4,3.5,2017-09-19,2017/2018,5,D1,1-1,0,-1.4,2017-09-19WolfsburgWerder Bremen
20/09/17,FC Koln,Ein Frankfurt,0,1,A,2.6,3.3,2.7,2017-09-20,2017/2018,5,D1,0-1,-1,-0.10000000000000009,2017-09-20FC KolnEin Frankfurt
20/09/17,Freiburg,Hannover,1,1,D,2.6,3.3,2.7,2017-09-20,2017/2018,5,D1,1-1,0,-0.10000000000000009,2017-09-20FreiburgHannover
20/09/17,Hamburg,Dortmund,0,3,A,6.5,4.2,1.5,2017-09-20,2017/2018,5,D1,0-3,-3,5.0,2017-09-20HamburgDortmund
20/09/17,Hertha,Leverkusen,2,1,H,2.95,3.3,2.4,2017-09-20,2017/2018,5,D1,2-1,1,0.5500000000000003,2017-09-20HerthaLeverkusen
20/09/17,Mainz,Hoffenheim,2,3,A,2.85,3.3,2.5,2017-09-20,2017/2018,5,D1,2-3,-1,0.3500000000000001,2017-09-20MainzHoffenheim
22/09/17,Bayern Munich,Wolfsburg,2,2,D,1.15,7.5,18.0,2017-09-22,2017/2018,6,D1,2-2,0,-16.85,2017-09-22Bayern MunichWolfsburg
23/09/17,Dortmund,M'gladbach,6,1,H,1.45,4.5,7.0,2017-09-23,2017/2018,6,D1,6-1,5,-5.55,2017-09-23DortmundM'gladbach
23/09/17,Hoffenheim,Schalke 04,2,0,H,2.2,3.35,3.3,2017-09-23,2017/2018,6,D1,2-0,2,-1.0999999999999996,2017-09-23HoffenheimSchalke 04
23/09/17,Mainz,Hertha,1,0,H,2.5,3.3,2.85,2017-09-23,2017/2018,6,D1,1-0,1,-0.3500000000000001,2017-09-23MainzHertha
23/09/17,RB Leipzig,Ein Frankfurt,2,1,H,1.65,3.8,5.3,2017-09-23,2017/2018,6,D1,2-1,1,-3.65,2017-09-23RB LeipzigEin Frankfurt
23/09/17,Stuttgart,Augsburg,0,0,D,2.3,3.3,3.15,2017-09-23,2017/2018,6,D1,0-0,0,-0.8500000000000001,2017-09-23StuttgartAugsburg
23/09/17,Werder Bremen,Freiburg,0,0,D,1.75,3.8,4.5,2017-09-23,2017/2018,6,D1,0-0,0,-2.75,2017-09-23Werder BremenFreiburg
24/09/17,Hannover,FC Koln,0,0,D,2.1,3.4,3.5,2017-09-24,2017/2018,6,D1,0-0,0,-1.4,2017-09-24HannoverFC Koln
24/09/17,Leverkusen,Hamburg,3,0,H,1.45,4.5,7.0,2017-09-24,2017/2018,6,D1,3-0,3,-5.55,2017-09-24LeverkusenHamburg
29/09/17,Schalke 04,Leverkusen,1,1,D,2.4,3.3,2.95,2017-09-29,2017/2018,7,D1,1-1,0,-0.5500000000000003,2017-09-29Schalke 04Leverkusen
30/09/17,Augsburg,Dortmund,1,2,A,7.0,4.5,1.45,2017-09-30,2017/2018,7,D1,1-2,-1,5.55,2017-09-30AugsburgDortmund
30/09/17,Ein Frankfurt,Stuttgart,2,1,H,2.0,3.4,3.8,2017-09-30,2017/2018,7,D1,2-1,1,-1.7999999999999998,2017-09-30Ein FrankfurtStuttgart
30/09/17,Hamburg,Werder Bremen,0,0,D,2.6,3.3,2.7,2017-09-30,2017/2018,7,D1,0-0,0,-0.10000000000000009,2017-09-30HamburgWerder Bremen
30/09/17,M'gladbach,Hannover,2,1,H,1.7,3.7,5.0,2017-09-30,2017/2018,7,D1,2-1,1,-3.3,2017-09-30M'gladbachHannover
30/09/17,Wolfsburg,Mainz,1,1,D,2.0,3.4,3.8,2017-09-30,2017/2018,7,D1,1-1,0,-1.7999999999999998,2017-09-30WolfsburgMainz
01/10/17,FC Koln,RB Leipzig,1,2,A,3.5,3.4,2.1,2017-10-01,2017/2018,7,D1,1-2,-1,1.4,2017-10-01FC KolnRB Leipzig
01/10/17,Freiburg,Hoffenheim,3,2,H,3.8,3.4,2.0,2017-10-01,2017/2018,7,D1,3-2,1,1.7999999999999998,2017-10-01FreiburgHoffenheim
01/10/17,Hertha,Bayern Munich,2,2,D,7.0,4.5,1.45,2017-10-01,2017/2018,7,D1,2-2,0,5.55,2017-10-01HerthaBayern Munich
13/10/17,Stuttgart,FC Koln,2,1,H,2.1,3.4,3.5,2017-10-13,2017/2018,8,D1,2-1,1,-1.4,2017-10-13StuttgartFC Koln
14/10/17,Bayern Munich,Freiburg,5,0,H,1.12,9.0,20.0,2017-10-14,2017/2018,8,D1,5-0,5,-18.88,2017-10-14Bayern MunichFreiburg
14/10/17,Dortmund,RB Leipzig,2,3,A,1.6,4.0,5.5,2017-10-14,2017/2018,8,D1,2-3,-1,-3.9,2017-10-14DortmundRB Leipzig
14/10/17,Hannover,Ein Frankfurt,1,2,A,2.6,3.2,2.8,2017-10-14,2017/2018,8,D1,1-2,-1,-0.19999999999999973,2017-10-14HannoverEin Frankfurt
14/10/17,Hertha,Schalke 04,0,2,A,2.65,3.3,2.65,2017-10-14,2017/2018,8,D1,0-2,-2,0.0,2017-10-14HerthaSchalke 04
14/10/17,Hoffenheim,Augsburg,2,2,D,1.9,3.5,4.1,2017-10-14,2017/2018,8,D1,2-2,0,-2.1999999999999997,2017-10-14HoffenheimAugsburg
14/10/17,Mainz,Hamburg,3,2,H,1.8,3.6,4.5,2017-10-14,2017/2018,8,D1,3-2,1,-2.7,2017-10-14MainzHamburg
15/10/17,Leverkusen,Wolfsburg,2,2,D,1.7,3.7,5.0,2017-10-15,2017/2018,8,D1,2-2,0,-3.3,2017-10-15LeverkusenWolfsburg
15/10/17,Werder Bremen,M'gladbach,0,2,A,2.9,3.4,2.4,2017-10-15,2017/2018,8,D1,0-2,-2,0.5,2017-10-15Werder BremenM'gladbach
20/10/17,Schalke 04,Mainz,2,0,H,1.8,3.6,4.5,2017-10-20,2017/2018,9,D1,2-0,2,-2.7,2017-10-20Schalke 04Mainz
21/10/17,Augsburg,Hannover,1,2,A,2.0,3.4,3.8,2017-10-21,2017/2018,9,D1,1-2,-1,-1.7999999999999998,2017-10-21AugsburgHannover
21/10/17,Ein Frankfurt,Dortmund,2,2,D,4.7,3.7,1.75,2017-10-21,2017/2018,9,D1,2-2,0,2.95,2017-10-21Ein FrankfurtDortmund
21/10/17,Hamburg,Bayern Munich,0,1,A,15.0,6.5,1.2,2017-10-21,2017/2018,9,D1,0-1,-1,13.8,2017-10-21HamburgBayern Munich
21/10/17,M'gladbach,Leverkusen,1,5,A,2.3,3.3,3.15,2017-10-21,2017/2018,9,D1,1-5,-4,-0.8500000000000001,2017-10-21M'gladbachLeverkusen
21/10/17,RB Leipzig,Stuttgart,1,0,H,1.5,4.2,6.5,2017-10-21,2017/2018,9,D1,1-0,1,-5.0,2017-10-21RB LeipzigStuttgart
22/10/17,FC Koln,Werder Bremen,0,0,D,2.5,3.3,2.85,2017-10-22,2017/2018,9,D1,0-0,0,-0.3500000000000001,2017-10-22FC KolnWerder Bremen
