Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
24/08/2019,Parma,Juventus,0,1,A,9.5,5.2,1.33,2019-08-24,2019/2020,1,I1,0-1,-1,8.17,2019-08-24ParmaJuventus
24/08/2019,Fiorentina,Napoli,3,4,A,4.5,3.8,1.77,2019-08-24,2019/2020,1,I1,3-4,-1,2.73,2019-08-24FiorentinaNapoli
25/08/2019,Udinese,Milan,1,0,H,3.75,3.35,2.05,2019-08-25,2019/2020,1,I1,1-0,1,1.7000000000000002,2019-08-25UdineseMilan
25/08/2019,Cagliari,Brescia,0,1,A,1.8,3.6,4.55,2019-08-25,2019/2020,1,I1,0-1,-1,-2.75,2019-08-25CagliariBrescia
25/08/2019,Roma,Genoa,3,3,D,1.5,4.3,6.6,2019-08-25,2019/2020,1,I1,3-3,0,-5.1,2019-08-25RomaGenoa
25/08/2019,Sampdoria,Lazio,0,3,A,3.45,3.45,2.1,2019-08-25,2019/2020,1,I1,0-3,-3,1.35,2019-08-25SampdoriaLazio
25/08/2019,Spal,Atalanta,2,3,A,4.75,3.65,1.77,2019-08-25,2019/2020,1,I1,2-3,-1,2.98,2019-08-25SpalAtalanta
25/08/2019,Torino,Sassuolo,2,1,H,1.87,3.55,4.3,2019-08-25,2019/2020,1,I1,2-1,1,-2.4299999999999997,2019-08-25TorinoSassuolo
25/08/2019,Verona,Bologna,1,1,D,3.35,3.2,2.3,2019-08-25,2019/2020,1,I1,1-1,0,1.0500000000000003,2019-08-25VeronaBologna
26/08/2019,Inter,Lecce,4,0,H,1.25,6.0,11.5,2019-08-26,2019/2020,2,I1,4-0,4,-10.25,2019-08-26InterLecce
30/08/2019,Bologna,Spal,1,0,H,1.83,3.5,4.6,2019-08-30,2019/2020,2,I1,1-0,1,-2.7699999999999996,2019-08-30BolognaSpal
31/08/2019,Milan,Brescia,1,0,H,1.5,4.25,6.7,2019-08-31,2019/2020,2,I1,1-0,1,-5.2,2019-08-31MilanBrescia
31/08/2019,Juventus,Napoli,4,3,H,1.97,3.4,4.0,2019-08-31,2019/2020,2,I1,4-3,1,-2.0300000000000002,2019-08-31JuventusNapoli
01/09/2019,Lazio,Roma,1,1,D,2.15,3.7,3.2,2019-09-01,2019/2020,2,I1,1-1,0,-1.0500000000000003,2019-09-01LazioRoma
