Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
14/08/15,Bayern Munich,Hamburg,5,0,H,1.15,7.0,15.0,2015-08-14,2015/2016,1,D1,5-0,5,-13.85,2015-08-14Bayern MunichHamburg
15/08/15,Augsburg,Hertha,0,1,A,2.0,3.3,3.6,2015-08-15,2015/2016,1,D1,0-1,-1,-1.6,2015-08-15AugsburgHertha
15/08/15,Darmstadt,Hannover,2,2,D,2.5,3.3,2.65,2015-08-15,2015/2016,1,D1,2-2,0,-0.1499999999999999,2015-08-15DarmstadtHannover
15/08/15,Dortmund,M'gladbach,4,0,H,1.8,3.5,4.2,2015-08-15,2015/2016,1,D1,4-0,4,-2.4000000000000004,2015-08-15DortmundM'gladbach
15/08/15,Leverkusen,Hoffenheim,2,1,H,1.45,4.0,7.0,2015-08-15,2015/2016,1,D1,2-1,1,-5.55,2015-08-15LeverkusenHoffenheim
15/08/15,Mainz,Ingolstadt,0,1,A,2.0,3.3,3.6,2015-08-15,2015/2016,1,D1,0-1,-1,-1.6,2015-08-15MainzIngolstadt
15/08/15,Werder Bremen,Schalke 04,0,3,A,2.75,3.3,2.4,2015-08-15,2015/2016,1,D1,0-3,-3,0.3500000000000001,2015-08-15Werder BremenSchalke 04
16/08/15,Stuttgart,FC Koln,1,3,A,2.1,3.3,3.3,2015-08-16,2015/2016,1,D1,1-3,-2,-1.1999999999999997,2015-08-16StuttgartFC Koln
16/08/15,Wolfsburg,Ein Frankfurt,2,1,H,1.45,4.0,7.0,2015-08-16,2015/2016,1,D1,2-1,1,-5.55,2015-08-16WolfsburgEin Frankfurt
21/08/15,Hertha,Werder Bremen,1,1,D,2.1,3.3,3.3,2015-08-21,2015/2016,2,D1,1-1,0,-1.1999999999999997,2015-08-21HerthaWerder Bremen
22/08/15,Ein Frankfurt,Augsburg,1,1,D,2.2,3.3,3.1,2015-08-22,2015/2016,2,D1,1-1,0,-0.8999999999999999,2015-08-22Ein FrankfurtAugsburg
22/08/15,FC Koln,Wolfsburg,1,1,D,3.8,3.45,1.9,2015-08-22,2015/2016,2,D1,1-1,0,1.9,2015-08-22FC KolnWolfsburg
22/08/15,Hamburg,Stuttgart,3,2,H,2.55,3.4,2.55,2015-08-22,2015/2016,2,D1,3-2,1,0.0,2015-08-22HamburgStuttgart
22/08/15,Hannover,Leverkusen,0,1,A,3.75,3.5,1.9,2015-08-22,2015/2016,2,D1,0-1,-1,1.85,2015-08-22HannoverLeverkusen
22/08/15,Hoffenheim,Bayern Munich,1,2,A,8.0,5.0,1.33,2015-08-22,2015/2016,2,D1,1-2,-1,6.67,2015-08-22HoffenheimBayern Munich
22/08/15,Schalke 04,Darmstadt,1,1,D,1.45,4.0,7.0,2015-08-22,2015/2016,2,D1,1-1,0,-5.55,2015-08-22Schalke 04Darmstadt
23/08/15,Ingolstadt,Dortmund,0,4,A,6.1,4.0,1.5,2015-08-23,2015/2016,2,D1,0-4,-4,4.6,2015-08-23IngolstadtDortmund
23/08/15,M'gladbach,Mainz,1,2,A,1.65,3.6,5.1,2015-08-23,2015/2016,2,D1,1-2,-1,-3.4499999999999997,2015-08-23M'gladbachMainz
28/08/15,Wolfsburg,Schalke 04,3,0,H,2.0,3.3,3.6,2015-08-28,2015/2016,3,D1,3-0,3,-1.6,2015-08-28WolfsburgSchalke 04
29/08/15,Augsburg,Ingolstadt,0,1,A,2.0,3.3,3.6,2015-08-29,2015/2016,3,D1,0-1,-1,-1.6,2015-08-29AugsburgIngolstadt
29/08/15,Bayern Munich,Leverkusen,3,0,H,1.33,5.0,8.0,2015-08-29,2015/2016,3,D1,3-0,3,-6.67,2015-08-29Bayern MunichLeverkusen
29/08/15,Darmstadt,Hoffenheim,0,0,D,2.65,3.3,2.5,2015-08-29,2015/2016,3,D1,0-0,0,0.1499999999999999,2015-08-29DarmstadtHoffenheim
29/08/15,FC Koln,Hamburg,2,1,H,1.9,3.45,3.8,2015-08-29,2015/2016,3,D1,2-1,1,-1.9,2015-08-29FC KolnHamburg
29/08/15,Mainz,Hannover,3,0,H,2.0,3.3,3.6,2015-08-29,2015/2016,3,D1,3-0,3,-1.6,2015-08-29MainzHannover
29/08/15,Stuttgart,Ein Frankfurt,1,4,A,2.0,3.3,3.6,2015-08-29,2015/2016,3,D1,1-4,-3,-1.6,2015-08-29StuttgartEin Frankfurt
30/08/15,Dortmund,Hertha,3,1,H,1.25,5.5,10.3,2015-08-30,2015/2016,3,D1,3-1,2,-9.05,2015-08-30DortmundHertha
30/08/15,Werder Bremen,M'gladbach,2,1,H,3.3,3.3,2.1,2015-08-30,2015/2016,3,D1,2-1,1,1.1999999999999997,2015-08-30Werder BremenM'gladbach
