game_id,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,MappedHomeTeam,MappedAwayTeam,season,datetime,league,game_day,HomeTeam,AwayTeam,FTHG,FTAG,IWH,IWD,IWA,goal_diff,odds_diff,result
2020-12-15HerthaMainz,Hertha Berlin,Mainz,70.06,59.58,0.5063,0.2495,0.2442,1.78,1.18,Hertha,Mainz,2020/2021,2020-12-15,D1,12.0,Hertha,Mainz,0.0,0.0,1.77,3.65,4.4,0.0,-2.6300000000000003,0-0
2020-12-16Schalke 04Freiburg,Schalke 04,SC Freiburg,54.17,64.58,0.3431,0.3951,0.2619,1.36,1.48,Schalke 04,Freiburg,2020/2021,2020-12-16,D1,12.0,Schalke 04,Freiburg,0.0,2.0,3.0,3.25,2.35,-2.0,0.6499999999999999,0-2
2020-12-16BielefeldAugsburg,Arminia Bielefeld,FC Augsburg,55.05,60.64,0.3832,0.322,0.2948,1.22,1.09,Bielefeld,Augsburg,2020/2021,2020-12-16,D1,12.0,Bielefeld,Augsburg,0.0,1.0,2.85,3.0,2.6,-1.0,0.25,0-1
2020-12-16HoffenheimRB Leipzig,TSG Hoffenheim,RB Leipzig,71.94,84.13,0.2718,0.4946,0.2336,1.37,1.91,Hoffenheim,RB Leipzig,2020/2021,2020-12-16,D1,12.0,Hoffenheim,RB Leipzig,0.0,1.0,4.4,4.1,1.67,-1.0,2.7300000000000004,0-1
2020-12-16Bayern MunichWolfsburg,Bayern Munich,VfL Wolfsburg,91.69,73.96,0.7712,0.0834,0.1454,2.74,0.81,Bayern Munich,Wolfsburg,2020/2021,2020-12-16,D1,12.0,Bayern Munich,Wolfsburg,2.0,1.0,1.33,5.75,7.75,1.0,-6.42,2-1
2020-12-16FC KolnLeverkusen,FC Cologne,Bayer Leverkusen,64.44,81.74,0.2181,0.5383,0.2436,1.05,1.79,FC Koln,Leverkusen,2020/2021,2020-12-16,D1,12.0,FC Koln,Leverkusen,0.0,4.0,4.9,3.8,1.67,-4.0,3.2300000000000004,0-4
2020-12-18Union BerlinDortmund,1. FC Union Berlin,Borussia Dortmund,69.31,84.8,0.2104,0.5497,0.2399,1.04,1.82,Union Berlin,Dortmund,2020/2021,2020-12-18,D1,13.0,Union Berlin,Dortmund,2.0,1.0,4.7,3.8,1.73,1.0,2.97,2-1
2020-12-19Schalke 04Bielefeld,Schalke 04,Arminia Bielefeld,53.43,54.85,0.4133,0.2987,0.28800000000000003,1.31,1.07,Schalke 04,Bielefeld,2020/2021,2020-12-19,D1,13.0,Schalke 04,Bielefeld,0.0,1.0,2.25,3.3,3.25,-1.0,-1.0,0-1
2020-12-19RB LeipzigFC Koln,RB Leipzig,FC Cologne,84.24,62.82,0.7029,0.1066,0.1905,2.18,0.71,RB Leipzig,FC Koln,2020/2021,2020-12-19,D1,13.0,RB Leipzig,FC Koln,0.0,0.0,1.33,5.5,9.0,0.0,-7.67,0-0
2020-12-19AugsburgEin Frankfurt,FC Augsburg,Eintracht Frankfurt,61.39,72.23,0.298,0.4363,0.2657,1.2,1.51,Augsburg,Ein Frankfurt,2020/2021,2020-12-19,D1,13.0,Augsburg,Ein Frankfurt,0.0,2.0,3.75,3.6,1.95,-2.0,1.8,0-2
2020-12-19MainzWerder Bremen,Mainz,Werder Bremen,60.37,62.77,0.4344,0.301,0.2647,1.52,1.22,Mainz,Werder Bremen,2020/2021,2020-12-19,D1,13.0,Mainz,Werder Bremen,0.0,1.0,2.45,3.25,2.9,-1.0,-0.44999999999999973,0-1
2020-12-19M'gladbachHoffenheim,Borussia Monchengladbach,TSG Hoffenheim,76.47,72.2,0.5164,0.2569,0.2266,2.01,1.37,M'gladbach,Hoffenheim,2020/2021,2020-12-19,D1,13.0,M'gladbach,Hoffenheim,1.0,2.0,1.9,3.8,3.8,-1.0,-1.9,1-2
2020-12-19LeverkusenBayern Munich,Bayer Leverkusen,Bayern Munich,82.98,91.34,0.2701,0.5002,0.2297,1.4,1.96,Leverkusen,Bayern Munich,2020/2021,2020-12-19,D1,13.0,Leverkusen,Bayern Munich,1.0,2.0,3.8,3.95,1.83,-1.0,1.9699999999999998,1-2
2020-12-20FreiburgHertha,SC Freiburg,Hertha Berlin,65.73,69.95,0.3902,0.3397,0.2701,1.4,1.29,Freiburg,Hertha,2020/2021,2020-12-20,D1,13.0,Freiburg,Hertha,4.0,1.0,2.65,3.25,2.65,3.0,0.0,4-1
2020-12-20WolfsburgStuttgart,VfL Wolfsburg,VfB Stuttgart,74.62,69.55,0.5032,0.2488,0.248,1.74,1.15,Wolfsburg,Stuttgart,2020/2021,2020-12-20,D1,13.0,Wolfsburg,Stuttgart,1.0,0.0,2.3,3.4,3.05,1.0,-0.75,1-0
2021-01-02HoffenheimFreiburg,TSG Hoffenheim,SC Freiburg,73.12,67.5,0.5121,0.2511,0.2369,1.87,1.25,Hoffenheim,Freiburg,2020/2021,2021-01-02,D1,14.0,Hoffenheim,Freiburg,1.0,3.0,2.05,3.5,3.35,-2.0,-1.3000000000000003,1-3
2021-01-02BielefeldM'gladbach,Arminia Bielefeld,Borussia Monchengladbach,56.33,75.64,0.2236,0.5311,0.2454,1.06,1.77,Bielefeld,M'gladbach,2020/2021,2021-01-02,D1,14.0,Bielefeld,M'gladbach,0.0,1.0,6.25,4.2,1.53,-1.0,4.72,0-1
2021-01-02Werder BremenUnion Berlin,Werder Bremen,1. FC Union Berlin,63.9,70.06,0.3509,0.3629,0.2862,1.21,1.23,Werder Bremen,Union Berlin,2020/2021,2021-01-02,D1,14.0,Werder Bremen,Union Berlin,0.0,2.0,2.9,3.1,2.5,-2.0,0.3999999999999999,0-2
2021-01-02FC KolnAugsburg,FC Cologne,FC Augsburg,62.81,61.0,0.4565,0.2618,0.2816,1.41,0.99,FC Koln,Augsburg,2020/2021,2021-01-02,D1,14.0,FC Koln,Augsburg,0.0,1.0,2.4,3.05,3.1,-1.0,-0.7000000000000002,0-1
2021-01-02Ein FrankfurtLeverkusen,Eintracht Frankfurt,Bayer Leverkusen,72.58,82.44,0.2977,0.4486,0.2536,1.29,1.64,Ein Frankfurt,Leverkusen,2020/2021,2021-01-02,D1,14.0,Ein Frankfurt,Leverkusen,2.0,1.0,3.2,3.55,2.1,1.0,1.1,2-1
2021-01-02HerthaSchalke 04,Hertha Berlin,Schalke 04,67.78,52.41,0.5689,0.1874,0.2437,1.77,0.9,Hertha,Schalke 04,2020/2021,2021-01-02,D1,14.0,Hertha,Schalke 04,3.0,0.0,1.75,3.6,4.6,3.0,-2.8499999999999996,3-0
2021-01-02StuttgartRB Leipzig,VfB Stuttgart,RB Leipzig,69.57,84.55,0.2437,0.5089,0.2474,1.14,1.75,Stuttgart,RB Leipzig,2020/2021,2021-01-02,D1,14.0,Stuttgart,RB Leipzig,0.0,1.0,3.8,3.8,1.85,-1.0,1.9499999999999997,0-1
2021-01-03DortmundWolfsburg,Borussia Dortmund,VfL Wolfsburg,84.25,74.77,0.5722,0.1961,0.2317,1.91,1.02,Dortmund,Wolfsburg,2020/2021,2021-01-03,D1,14.0,Dortmund,Wolfsburg,2.0,0.0,1.6,4.0,5.25,2.0,-3.65,2-0
